TABLE_NAME,COLUMN_NAME
ABSAGEGRUND,ID
ABSAGEGRUND,DBID
ABSAGEGRUND,TEXT
ABSAGEGRUND,TRFIELD
ABSAGEGRUND,REPL_ID
ABSAGEGRUND,REPL_DATABASE
ABSCHLAGSVERRECHNUNG,ID
ABSCHLAGSVERRECHNUNG,DBID
ABSCHLAGSVERRECHNUNG,IABSCHLAGSRECHNR
ABSCHLAGSVERRECHNUNG,IRECHNR
ABSCHLAGSVERRECHNUNG,DBETRAG
ABSCHLAGSVERRECHNUNG,TRFIELD
ABSCHLAGSVERRECHNUNG,REPL_ID
ABSCHLAGSVERRECHNUNG,REPL_DATABASE
ABSCHLAGSVERRECHNUNG,IVORSCHAU
ABSCHLUSS,SCHLUESSEL
ABSCHLUSS,JAHR
ABSCHLUSS,MONAT
ABSCHLUSS,CODE1
ABSCHLUSS,CODE2
ABSCHLUSS,CODE3
ABSCHLUSS,CODE4
ABSCHLUSS,CODE5
ABSCHLUSS,DATUM
ABSCHLUSS,LDATUM
ABSCHLUSS,TRFIELD
ABSCHLUSS,REPL_ID
ABSCHLUSS,REPL_DATABASE
ABSUMM,JAHR
ABSUMM,MONAT
ABSUMM,KONTO
ABSUMM,WC1
ABSUMM,SOLL
ABSUMM,HABEN
ABSUMM,EBVORTRAG
ABSUMM,WC2
ABSUMM,SOLLW2
ABSUMM,HABENW2
ABSUMM,EBVORTRAGW2
ABSUMM,BUCHDATUM
ABSUMM,BEDIENER
ABSUMM,TRFIELD
ABSUMM,REPL_ID
ABSUMM,REPL_DATABASE
ABZUGART,ABZUGARTNR
ABZUGART,ABZUGBEZUG
ABZUGART,BEZEICHN
ABZUGART,SACHKONTO
ABZUGART,RO
ABZUGART,TRANS
ABZUGART,F1
ABZUGART,F2
ABZUGART,F3
ABZUGART,F4
ABZUGART,F5
ABZUGART,TRFIELD
ABZUGART,REPL_ID
ABZUGART,REPL_DATABASE
ABZUGART,IMITKOSTENST
ABZUGART,INICHTMANUELL
ABZUGART,INICHTAKTIV
ABZUGART,IFREMDABZUGNR
ABZUGART,ISTEUERSCHLUESSEL
ABZUGART,IKUMULIEREN
ABZUGART,IKEINELOHNUEBERGABE
ABZUGART,BERUECKSICHFUERMICO
ABZUGART,IAUSWERTEN
ABZUGART,IAUTKOSTENSTVERTEILUNG
ABZUGART,ICODELSTBESCHEINIGUNG
ABZUGART,MWSTAUTOMATISCHBUCHEN
ABZUGART,GWV_PKW_VERSTEUERUNG
ADRESSEN,NUMMER
ADRESSEN,NAME1
ADRESSEN,NAME2
ADRESSEN,BRANCHE
ADRESSEN,STRASSE
ADRESSEN,NAT
ADRESSEN,PLZ
ADRESSEN,ORT
ADRESSEN,POSTFACH
ADRESSEN,POSTFPLZ
ADRESSEN,POSTFORT
ADRESSEN,TELEFON1
ADRESSEN,TELEFON2
ADRESSEN,TELEFAX
ADRESSEN,LAND
ADRESSEN,ANREDE
ADRESSEN,BRIEFANR
ADRESSEN,ART
ADRESSEN,KNR
ADRESSEN,FREI1
ADRESSEN,FREI2
ADRESSEN,FREI3
ADRESSEN,FREI4
ADRESSEN,TRANS
ADRESSEN,EMAIL
ADRESSEN,HOMEPAGE
ADRESSEN,TRFIELD
ADRESSEN,REPL_ID
ADRESSEN,REPL_DATABASE
ADRESSEN,LNAME1
ADRESSEN,LNAME2
ADRESSEN,LBRANCHE
ADRESSEN,ERLEDIGT
ADRESSENERW,ID
ADRESSENERW,DBID
ADRESSENERW,NUMMER
ADRESSENERW,FELD1
ADRESSENERW,FELD2
ADRESSENERW,FELD3
ADRESSENERW,TRFIELD
ADRESSENERW,REPL_ID
ADRESSENERW,REPL_DATABASE
ADRESSEN_ZUSATZ,ID
ADRESSEN_ZUSATZ,DBID
ADRESSEN_ZUSATZ,ADRNR
ADRESSEN_ZUSATZ,LANDKREIS
ADRESSEN_ZUSATZ,GEMEINDE
ADRESSEN_ZUSATZ,STRASSE
ADRESSEN_ZUSATZ,HAUSNR
ADRESSEN_ZUSATZ,WOHNUNGNR
ADRESSEN_ZUSATZ,POSTAMT
ADRESSEN_ZUSATZ,TRFIELD
ADRESSEN_ZUSATZ,REPL_ID
ADRESSEN_ZUSATZ,REPL_DATABASE
ADRESSEN_ZUSATZ,BUNDLAND
AEND_STAATSANG,PERSONALNR
AEND_STAATSANG,DATUM
AEND_STAATSANG,STAAT_ALT
AEND_STAATSANG,STAAT_NEU
AEND_STAATSANG,TRFIELD
AEND_STAATSANG,REPL_ID
AEND_STAATSANG,REPL_DATABASE
AIDASTEUER,STEUERSL
AIDASTEUER,TEXT
AIDASTEUER,STEUERPROZ
AIDASTEUER,GUELTBIS
AIDASTEUER,STEUERSLNEU
AIDASTEUER,DEFAULTKTO
AIDASTEUER,MWSTKTO
AIDASTEUER,TRFIELD
AIDASTEUER,REPL_ID
AIDASTEUER,REPL_DATABASE
AIDASTEUER,STEUERSLFREMD
AIDAVEROPT,ID
AIDAVEROPT,DATABASE_ID
AIDAVEROPT,F1
AIDAVEROPT,TRFIELD
AIDAVEROPT,REPL_ID
AIDAVEROPT,REPL_DATABASE
AIDA_ANLAGEN,ANLAGENNR
AIDA_ANLAGEN,BEZEICHNUNG
AIDA_ANLAGEN,STDSATZ
AIDA_ANLAGEN,WAEHRCODE
AIDA_ANLAGEN,BEMERKUNGEN
AIDA_ANLAGEN,KOSTENST
AIDA_ANLAGEN,LOHNART
AIDA_ANLAGEN,KUNDENNR
AIDA_ANLAGEN,PERSONALNR
AIDA_ANLAGEN,AUSGDATUM
AIDA_ANLAGEN,RUECKGDATUM
AIDA_ANLAGEN,TRANS
AIDA_ANLAGEN,TRFIELD
AIDA_ANLAGEN,REPL_ID
AIDA_ANLAGEN,REPL_DATABASE
AIDA_FUHRPARK,ID
AIDA_FUHRPARK,DBID
AIDA_FUHRPARK,REPL_ID
AIDA_FUHRPARK,REPL_DBID
AIDA_FUHRPARK,RO_NUMMER
AIDA_FUHRPARK,BETRIEB_ID
AIDA_FUHRPARK,BETRIEB_DBID
AIDA_FUHRPARK,BEREICH_ID
AIDA_FUHRPARK,BEREICH_DBID
AIDA_FUHRPARK,VERWENDUNG_ID
AIDA_FUHRPARK,VERWENDUNG_DBID
AIDA_FUHRPARK,KFZBRIEFNUMMER
AIDA_FUHRPARK,FAHRGESTELLNUMMER
AIDA_FUHRPARK,KFZKENNZEICHEN
AIDA_FUHRPARK,SCHADSTOFFGRUPPE_ID
AIDA_FUHRPARK,SCHADSTOFFGRUPPE_DBID
AIDA_FUHRPARK,HUBRAUM
AIDA_FUHRPARK,LEISTUNG
AIDA_FUHRPARK,KRAFTSTOFF
AIDA_FUHRPARK,LEERGEWICHT
AIDA_FUHRPARK,NUTZLAST
AIDA_FUHRPARK,GESAMTGEWICHT
AIDA_FUHRPARK,ANHAENGERLAST
AIDA_FUHRPARK,AHK
AIDA_FUHRPARK,FAHRTENSCHREIBER
AIDA_FUHRPARK,LADEKRAN
AIDA_FUHRPARK,FAHRZEUGART_ID
AIDA_FUHRPARK,FAHRZEUGART_DBID
AIDA_FUHRPARK,KFZSTEUERNUMMER
AIDA_FUHRPARK,FINANZAMT_ID
AIDA_FUHRPARK,FINANZAMT_DBID
AIDA_FUHRPARK,KONTIERUNG
AIDA_FUHRPARK,LEASINGGESELLSCHAFT_ID
AIDA_FUHRPARK,LEASINGGESELLSCHAFT_DBID
AIDA_FUHRPARK,LEASINGDAUER
AIDA_FUHRPARK,LEASINGRATE
AIDA_FUHRPARK,ABSCHREIBUNGSART
AIDA_FUHRPARK,AFAJAHRE
AIDA_FUHRPARK,AFAJAEHRLICH
AIDA_FUHRPARK,AFAMONATLICH
AIDA_FUHRPARK,HAENDLER_ID
AIDA_FUHRPARK,HAENDLER_DBID
AIDA_FUHRPARK,KAUFDATUM
AIDA_FUHRPARK,KAUFSUMME
AIDA_FUHRPARK,VERKAUFSDATUM
AIDA_FUHRPARK,KOSTENSTELLE
AIDA_FUHRPARK,BESTELLUNGSDATUM
AIDA_FUHRPARK,KFZFABRIKAT
AIDA_FUHRPARK,ZULASSUNGSDATUM
AIDA_FUHRPARK,ERSTZULASSUNGSDATUM
AIDA_FUHRPARK,ABMELDEDATUM
