feed_id,feed_name,source_set,sidp_g_kgdm,ca_g_kgdm,p_g_kgdm,na_g_kgdm,price_eur_kgdm,group,min_kgdm,max_kgdm,notes,source_sidp,source_minerals,source_group,source_price,source_limits
ackerbohnen,Ackerbohnen,DLG_2025,118,1.4,6.3,0.2,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
ackerbohnenschalen,Ackerbohnenschalen,DLG_2025,71,5.5,1.6,0.2,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
erbsen,Erbsen,DLG_2025,114,1.1,4.7,0.2,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
erbsenproteinkonzentrat,Erbsenproteinkonzentrat,DLG_2025,176,2,8,0.6,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
erbsenschalen,Erbsenschalen,DLG_2025,69,5.5,1.6,0.2,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
gerste,Gerste,DLG_2025,99,0.7,4,0.3,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
getreidetrockenschlempe_ohne_mais,Getreidetrockenschlempe (ohne Mais),DLG_2025,147,1,10,0.3,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
hafer,Hafer,DLG_2025,85,1.2,3.6,0.4,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
haferschaelkleie,Haferschälkleie,DLG_2025,66,1.1,1.8,0.2,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
kartoffelprotein,Kartoffelprotein,DLG_2025,,0.1,2.5,0.3,,Konzentratfutter - Trockenkonzentrat,,,sidP in DLG als n.a. ausgewiesen,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
