feed_id,feed_name,source_set,sidp_g_kgdm,ca_g_kgdm,p_g_kgdm,na_g_kgdm,price_eur_kgdm,group,min_kgdm,max_kgdm,notes
ackerbohnen,Ackerbohnen,DLG_2025,,,,,,,,,
ackerbohnenschalen,Ackerbohnenschalen,DLG_2025,,,,,,,,,
erbsen,Erbsen,DLG_2025,,,,,,,,,
erbsenproteinkonzentrat,Erbsenproteinkonzentrat,DLG_2025,,,,,,,,,
erbsenschalen,Erbsenschalen,DLG_2025,,,,,,,,,
gerste,Gerste,DLG_2025,,,,,,,,,
getreidetrockenschlempe_ohne_mais,Getreidetrockenschlempe (ohne Mais),DLG_2025,,,,,,,,,
hafer,Hafer,DLG_2025,,,,,,,,,
haferschaelkleie,Haferschälkleie,DLG_2025,,,,,,,,,
kartoffelprotein,Kartoffelprotein,DLG_2025,,,,,,,,,
kokospresskuchen,Kokospresskuchen,DLG_2025,,,,,,,,,
koernermais,Körnermais,DLG_2025,,,,,,,,,
leinsamen,Leinsamen,DLG_2025,,,,,,,,,
leinextraktionsschrot_aufgefettet,"Leinextraktionsschrot, aufgefettet",DLG_2025,,,,,,,,,
leinkuchen,Leinkuchen,DLG_2025,,,,,,,,,
maiskleberfutter,Maiskleberfutter,DLG_2025,,,,,,,,,
malzkeime,Malzkeime,DLG_2025,,,,,,,,,
melasseschnitzel,Melasseschnitzel,DLG_2025,,,,,,,,,
palmkernkuchen,Palmkernkuchen,DLG_2025,,,,,,,,,
rapssaat,Rapssaat,DLG_2025,,,,,,,,,
rapsextraktionsschrot_unbehandelt,Rapsextraktionsschrot unbehandelt,DLG_2025,,,,,,,,,
rapsextraktionsschrot_unbehandelt_hoch_pansenstabil,"Rapsextraktionsschrot unbehandelt, hoch pansenstabil",DLG_2025,,,,,,,,,
rapsextraktionsschrot_unbehandelt_mittel_pansenstabil,"Rapsextraktionsschrot unbehandelt, mittel pansenstabil",DLG_2025,,,,,,,,,
rapsextraktionsschrot_unbehandelt_wenig_pansenstabil,"Rapsextraktionsschrot unbehandelt, wenig pansenstabil",DLG_2025,,,,,,,,,
rapsextraktionsschrot_gezielt_therm_behandelt,"Rapsextraktionsschrot, gezielt therm. behandelt",DLG_2025,,,,,,,,,
rapsextraktionsschrot_gezielt_therm_behandelt_hoch_pansenstabil,"Rapsextraktionsschrot, gezielt therm. behandelt, hoch pansenstabil",DLG_2025,,,,,,,,,
rapsextraktionsschrot_gezielt_therm_behandelt_wenig_pansenstabil,"Rapsextraktionsschrot, gezielt therm. behandelt, wenig pansenstabil",DLG_2025,,,,,,,,,
rapskuchen,Rapskuchen,DLG_2025,,,,,,,,,
roggen,Roggen,DLG_2025,,,,,,,,,
roggenkleie,Roggenkleie,DLG_2025,,,,,,,,,
schokomehl,Schokomehl,DLG_2025,,,,,,,,,
sojabohne,Sojabohne,DLG_2025,,,,,,,,,
sojabohnenschalen,Sojabohnenschalen,DLG_2025,,,,,,,,,
sojabohnenpresskuchen,Sojabohnenpresskuchen,DLG_2025,,,,,,,,,
sojaextraktionsschrot_unbehandelt,Sojaextraktionsschrot unbehandelt,DLG_2025,,,,,,,,,
sojaextraktionsschrot_aus_geschaelter_saat,Sojaextraktionsschrot aus geschälter Saat,DLG_2025,,,,,,,,,
sojaextraktionsschrot_gezielt_behandelt_pansenstabil,"Sojaextraktionsschrot, gezielt behandelt/pansenstabil",DLG_2025,,,,,,,,,
sonnenblumenextraktionsschrot_geschaelte_saat,"Sonnenblumenextraktionsschrot, geschälte Saat",DLG_2025,,,,,,,,,
sonnenblumenextraktionsschrot_teilgeschaelte_saat,"Sonnenblumenextraktionsschrot, teilgeschälte Saat",DLG_2025,,,,,,,,,
sonnenblumenextraktionsschrot_schalenreich,"Sonnenblumenextraktionsschrot, schalenreich",DLG_2025,,,,,,,,,
sonnenblumenpresskuchen,Sonnenblumenpresskuchen,DLG_2025,,,,,,,,,
suesslupinen_blau,"Süßlupinen, blau",DLG_2025,,,,,,,,,
suesslupinen_weiss,"Süßlupinen, weiß",DLG_2025,,,,,,,,,
triticale,Triticale,DLG_2025,,,,,,,,,
weizen,Weizen,DLG_2025,,,,,,,,,
weizenkleberfutter,Weizenkleberfutter,DLG_2025,,,,,,,,,
weizenkleie,Weizenkleie,DLG_2025,,,,,,,,,
weizengriesskleie,Weizengrießkleie,DLG_2025,,,,,,,,,
zitrustrester,Zitrustrester,DLG_2025,,,,,,,,,
feuchtmais_ccm,Feuchtmais (CCM),DLG_2025,,,,,,,,,
maiskleberfutter_siliert,"Maiskleberfutter, siliert",DLG_2025,,,,,,,,,
maiskolben_mit_lieschen_lks,Maiskolben mit Lieschen (LKS),DLG_2025,,,,,,,,,
melasse_zuckerrohr,"Melasse, Zuckerrohr",DLG_2025,,,,,,,,,
melasse_zuckerruebe,"Melasse, Zuckerrübe",DLG_2025,,,,,,,,,
zuckerruebenvinasse,Zuckerrübenvinasse,DLG_2025,,,,,,,,,
maissilage,Maissilage,LFL_2025_median,,,,,,,,,
grassilage_1_schnitt,Grassilage 1. Schnitt,LFL_2025_median,,,,,,,,,
grascobs_heissluftheu_1_schnitt,Grascobs/Heißluftheu 1. Schnitt,LFL_2025_median,,,,,,,,,
grascobs_heissluftheu_folgeschnitte,Grascobs/Heißluftheu Folgeschnitte,LFL_2025_median,,,,,,,,,
wiesen_belueftungsheu_1_schnitt,Wiesen-/Belüftungsheu 1. Schnitt,LFL_2025_median,,,,,,,,,
wiesen_belueftungsheu_folgeschnitte,Wiesen-/Belüftungsheu Folgeschnitte,LFL_2025_median,,,,,,,,,
