id,name,group,dm_frac,price_eur_kgdm,me_mj_kgdm,sidp_g_kgdm,andfom_g_kgdm,starch_g_kgdm,sugar_g_kgdm,fat_g_kgdm,ca_g_kgdm,p_g_kgdm,na_g_kgdm,min_kgdm,max_kgdm,active,merge_analytic_id,merge_note
ackerbohnen,Ackerbohnen,concentrate,0.88,0.25,13.8,118.0,133.0,443.0,32.0,16.0,1.4,6.3,0.2,0.0,8.0,true,ackerbohnen_dlg2025,
erbsen,Erbsen,concentrate,0.88,0.25,13.5,114.0,158.0,491.0,48.0,17.0,1.1,4.7,0.2,0.0,8.0,true,erbsen_dlg2025,
gerste,Gerste,concentrate,0.863,0.25,13.1,99.0,183.0,611.0,28.0,21.0,0.7,4.0,0.3,0.0,8.0,true,gerste_ernte2025,Analytik = LKV Ernte 2025
hafer,Hafer,concentrate,0.872,0.25,11.2,85.0,363.0,446.0,18.0,35.0,1.2,3.6,0.4,0.0,8.0,true,hafer_ernte2025,Analytik = LKV Ernte 2025
koernermais,Körnermais,concentrate,0.88,0.25,13.2,108.0,115.0,711.0,19.0,52.0,0.3,3.2,0.1,0.0,8.0,true,koernermais_dlg2025,
melasseschnitzel,Melasseschnitzel,concentrate,0.9,0.25,13.1,96.0,399.0,0.0,171.0,13.0,11.0,0.8,1.7,0.0,8.0,true,melasseschnitzel_dlg2025,
rapsextraktionsschrot_unbehandelt,Rapsextraktionsschrot unbehandelt,concentrate,0.89,0.25,11.7,146.0,298.0,72.0,86.0,35.0,8.7,11.9,0.5,0.0,8.0,true,raps_extraktionsschrot_dlg2025,
rapsextraktionsschrot_unbehandelt_hoch_pansenstabil,"Rapsextraktionsschrot unbehandelt, hoch pansenstabil",concentrate,0.89,0.25,11.7,165.0,298.0,72.0,86.0,35.0,8.7,11.9,0.5,0.0,8.0,true,raps_extraktionsschrot_dlg2025,Analytik = Basis-Rapsextraktionsschrot DLG (Variante)
rapsextraktionsschrot_unbehandelt_mittel_pansenstabil,"Rapsextraktionsschrot unbehandelt, mittel pansenstabil",concentrate,0.89,0.25,11.7,145.0,298.0,72.0,86.0,35.0,8.7,11.9,0.5,0.0,8.0,true,raps_extraktionsschrot_dlg2025,Analytik = Basis-Rapsextraktionsschrot DLG (Variante)
rapsextraktionsschrot_unbehandelt_wenig_pansenstabil,"Rapsextraktionsschrot unbehandelt, wenig pansenstabil",concentrate,0.89,0.25,11.7,128.0,298.0,72.0,86.0,35.0,8.7,11.9,0.5,0.0,8.0,true,raps_extraktionsschrot_dlg2025,Analytik = Basis-Rapsextraktionsschrot DLG (Variante)
rapsextraktionsschrot_gezielt_therm_behandelt,"Rapsextraktionsschrot, gezielt therm. behandelt",concentrate,0.89,0.25,11.7,152.0,298.0,72.0,86.0,35.0,8.7,11.9,0.5,0.0,8.0,true,raps_extraktionsschrot_dlg2025,Analytik = Basis-Rapsextraktionsschrot DLG (Variante)
rapsextraktionsschrot_gezielt_therm_behandelt_hoch_pansenstabil,"Rapsextraktionsschrot, gezielt therm. behandelt, hoch pansenstabil",concentrate,0.89,0.25,11.7,177.0,298.0,72.0,86.0,35.0,8.7,11.9,0.5,0.0,8.0,true,raps_extraktionsschrot_dlg2025,Analytik = Basis-Rapsextraktionsschrot DLG (Variante)
rapsextraktionsschrot_gezielt_therm_behandelt_wenig_pansenstabil,"Rapsextraktionsschrot, gezielt therm. behandelt, wenig pansenstabil",concentrate,0.89,0.25,11.7,133.0,298.0,72.0,86.0,35.0,8.7,11.9,0.5,0.0,8.0,true,raps_extraktionsschrot_dlg2025,Analytik = Basis-Rapsextraktionsschrot DLG (Variante)
roggen,Roggen,concentrate,0.855,0.25,13.4,92.0,140.0,649.0,62.0,14.0,0.6,3.1,0.2,0.0,8.0,true,roggen_ernte2025,Analytik = LKV Ernte 2025
sojaextraktionsschrot_unbehandelt,Sojaextraktionsschrot unbehandelt,concentrate,0.89,0.25,13.9,219.0,154.0,68.0,104.0,18.0,3.1,7.0,0.2,0.0,8.0,true,soja_extraktionsschrot_dlg2025,
sojaextraktionsschrot_aus_geschaelter_saat,Sojaextraktionsschrot aus geschälter Saat,concentrate,0.89,0.25,14.1,227.0,124.0,45.0,103.0,20.0,3.5,7.3,0.2,0.0,8.0,true,soja_extraktionsschrot_hp_dlg2025,
triticale,Triticale,concentrate,0.86,0.25,13.2,98.0,119.0,699.0,44.0,17.0,0.4,3.5,0.2,0.0,8.0,true,triticale_ernte2025,Analytik = LKV Ernte 2025
weizen,Weizen,concentrate,0.864,0.25,13.2,101.0,121.0,652.0,35.0,19.0,0.5,3.2,0.1,0.0,8.0,true,weizen_ernte2025,Analytik = LKV Ernte 2025
weizenkleie,Weizenkleie,concentrate,0.88,0.25,11.7,0.0,408.0,292.0,64.0,48.0,0.0,0.0,0.0,0.0,8.0,true,weizenkleie_staerkerich_dlg2025,"DLG 2025 führt zwei Varianten: stärkereich (sidP 86; Ca 1,8; P 13,0; Na 0,5) und faserreich (sidP 86; Ca 1,4; P 13,0; Na 0,1). Werte nicht automatisch zusammengeführt."
melasse_zuckerruebe,"Melasse, Zuckerrübe",concentrate,0.77,0.25,11.2,101.0,0.0,0.0,654.0,1.0,2.1,0.3,6.8,0.0,8.0,true,melasse_zuckerruebe_dlg2025,
