total: 166
dlg_10010010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.70 | st=    0 | ndf=  420 | Ackergras, Herbst
dlg_10020010                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.60 | st=    0 | ndf=  420 | Ackergras, jung
dlg_10030020                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.30 | st=    0 | ndf=  492 | Ackergras, 1. Aufwuchs
dlg_10040020                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.20 | st=    0 | ndf=  491 | Ackergras, Folgeaufwuchs
dlg_10050020                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.30 | st=    0 | ndf=  420 | Ackergras, gut
dlg_10060020                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.90 | st=    0 | ndf=  475 | Ackergras, mittel
dlg_10070010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.70 | st=    0 | ndf=  518 | Gras
dlg_10080020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.20 | st=    0 | ndf=  541 | Gras
dlg_10090010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.70 | st=    0 | ndf=  524 | Gras, frisch o. konserviert, 1. Aufwuchs
dlg_10090020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.70 | st=    0 | ndf=  524 | Gras, frisch o. konserviert, 1. Aufwuchs
dlg_10090030                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.70 | st=    0 | ndf=  524 | Gras, frisch o. konserviert, 1. Aufwuchs
dlg_10100010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.00 | st=    0 | ndf=  564 | Gras, frisch o. konserviert, 2. Aufwuchs
dlg_10100020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.00 | st=    0 | ndf=  564 | Gras, frisch o. konserviert, 2. Aufwuchs
dlg_10100030                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.00 | st=    0 | ndf=  564 | Gras, frisch o. konserviert, 2. Aufwuchs
dlg_10110010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.10 | st=    0 | ndf=  550 | Gras, frisch o. konserviert, 3. Aufwuchs
dlg_10110020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.10 | st=    0 | ndf=  550 | Gras, frisch o. konserviert, 3. Aufwuchs
dlg_10110030                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.10 | st=    0 | ndf=  550 | Gras, frisch o. konserviert, 3. Aufwuchs
dlg_10120010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.20 | st=    0 | ndf=  531 | Gras, frisch o. konserviert, 4. Aufwuchs
dlg_10120020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.20 | st=    0 | ndf=  531 | Gras, frisch o. konserviert, 4. Aufwuchs
dlg_10120030                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.20 | st=    0 | ndf=  531 | Gras, frisch o. konserviert, 4. Aufwuchs
dlg_10130010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.40 | st=    0 | ndf=  506 | Gras, frisch o. konserviert, 5. Aufwuchs
dlg_10130020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.40 | st=    0 | ndf=  506 | Gras, frisch o. konserviert, 5. Aufwuchs
dlg_10130030                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.40 | st=    0 | ndf=  506 | Gras, frisch o. konserviert, 5. Aufwuchs
dlg_10140010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.10 | st=    0 | ndf=  544 | Gras, frisch o. konserviert, Folgeaufwuchs
dlg_10140020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.10 | st=    0 | ndf=  544 | Gras, frisch o. konserviert, Folgeaufwuchs
dlg_10140030                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.10 | st=    0 | ndf=  544 | Gras, frisch o. konserviert, Folgeaufwuchs
dlg_10150030                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.20 | st=    0 | ndf=  512 | Gras, gute OMD
dlg_10160030                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.30 | st=    0 | ndf=  605 | Gras, mittlere OMD
dlg_10170030                        | forage=True  | group=Grundfutter/Grobfutter         | me= 8.40 | st=    0 | ndf=  645 | Gras, ├╝berst├ñndig
dlg_10180010                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.80 | st=    0 | ndf=  420 | Weide, Fr├╝hjahr, jung
dlg_10190010                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.30 | st=    0 | ndf=  450 | Weide, Fr├╝hjahr, mittel
dlg_10200010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.80 | st=    0 | ndf=  480 | Weide, Fr├╝hjahr, ├ñlter
dlg_10210010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.70 | st=    0 | ndf=  420 | Weide, Sommer, jung
dlg_10220010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.10 | st=    0 | ndf=  480 | Weide, Sommer, ├ñlter
